Number,A parts,B parts,C parts,M parts,New SMILES
104,A4,B6,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(O*)C2(O)C1
105,A5,B6,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2=CC(C)C(=O)C2(O)C1
106,A1,B6,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(=O)C2(O)C1
107,A2,B6,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(=O)C2(O)C1
108,A3,B6,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(O*)C2(O)C1
109,A4,B6,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(O*)C2(O)C1
110,A5,B6,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2=CC(C)C(=O)C2(O)C1
111,A1,B6,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(=O)C2(O)C1
112,A2,B6,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(=O)C2(O)C1
113,A3,B6,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(O*)C2(O)C1
114,A4,B6,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(O*)C2(O)C1
115,A5,B6,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2=CC(C)C(=O)C2(O)C1
116,A1,B6,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(=O)C2(O)C1
117,A2,B6,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(=O)C2(O)C1
118,A3,B6,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(O*)C2(O)C1
119,A4,B6,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(O*)C2(O)C1
120,A5,B6,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2=CC(C)C(=O)C2(O)C1
121,A4,B7,C3,,*OCC1(O)C2OC3(C(O*)C(C)CC3C3(O)C(C)CC(O)(C(=C)C)C(O*)C23)C1O
122,A4,B7,C4,,*OCC1(O)C2OC3(C(O*)C(C)CC3C3(O)C(C)C(O*)C(O)(C(=C)C)C(O*)C23)C1O
123,A4,B8,C3,,*OCC12OC3(C(O*)C(C)CC3C3(O)C(C)CC(O)(C(=C)C)C(O*)C3C1O)C2O
124,A4,B8,C4,,*OCC12OC3(C(O*)C(C)CC3C3(O)C(C)C(O*)C(O)(C(=C)C)C(O*)C3C1O)C2O
125,A6,B1,C1,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
126,A7,B1,C1,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
127,A8,B1,C1,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
128,A9,B1,C1,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
129,A6,B1,C1,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
130,A7,B1,C1,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
131,A8,B1,C1,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
132,A9,B1,C1,M2,*OCC12OC1C1C3OC45CCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
133,A6,B1,C1,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
134,A7,B1,C1,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
135,A8,B1,C1,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
136,A9,B1,C1,M3,*OCC12OC1C1C3OC45C(O)CCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
137,A6,B1,C1,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
138,A7,B1,C1,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
139,A8,B1,C1,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
140,A9,B1,C1,M4,*OCC12OC1C1C3OC45C(O)CCCCC(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
141,A6,B1,C1,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
142,A7,B1,C1,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
143,A8,B1,C1,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
144,A9,B1,C1,M5,*OCC12OC1C1C3OC45C(O)CCCC(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
145,A6,B1,C1,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
146,A7,B1,C1,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
147,A8,B1,C1,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
148,A9,B1,C1,M6,*OCC12OC1C1C3OC45C(O)CCC(O*)C(O*)C(O*)CC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
149,A6,B1,C1,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
150,A7,B1,C1,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
151,A8,B1,C1,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
152,A9,B1,C1,M7,*OCC12OC1C1C3OC45CCCC=CCCCCC(CCC)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
153,A6,B1,C1,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
154,A7,B1,C1,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
155,A8,B1,C1,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
156,A9,B1,C1,M8,*OCC12OC1C1C3OC45C=CCCCCCCCCCCCC(C)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
157,A6,B1,C1,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
158,A7,B1,C1,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
159,A8,B1,C1,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
160,A9,B1,C1,M9,*OCC12OC1C1C3OC45CCCCCCCCCCCCCC(C)(O)C6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)CC3(C(=C)C)O5
161,A6,B1,C2,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
162,A7,B1,C2,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(=O)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
163,A8,B1,C2,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
164,A9,B1,C2,M1,*OCC12OC1C1C3OC45CCCCCCCCC6C(O)(C)C(O*)C(O)(C2O)C6C1(O4)C(C)C(O*)C3(C(=C)C)O5
